# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.005590,0.424395,0.425779,0.560322
0.005600,0.422914,0.309017,0.364528
0.005610,0.421441,0.187381,0.235673
0.005620,0.419977,0.062791,0.052019
0.005630,0.418521,-0.062791,-0.059336
0.005640,0.417073,-0.187381,-0.233080
0.005650,0.415634,-0.309017,-0.370976
0.005660,0.414204,-0.425779,-0.496658
0.005670,0.412782,-0.535827,-0.648000
0.005680,0.411369,-0.637424,-0.744089
0.005690,0.409965,-0.728969,-0.860877
0.005700,0.408569,-0.809017,-0.956650
0.005710,0.407183,-0.876307,-1.043769
0.005720,0.405805,-0.929776,-1.088496
0.005730,0.404436,-0.968583,-1.170500
0.005740,0.403077,-0.992115,-1.171736
0.005750,0.401726,-1.000000,-1.228998
0.005760,0.400385,-0.992115,-1.160144
0.005770,0.399052,-0.968583,-1.141235
0.005780,0.397729,-0.929776,-1.132105
0.005790,0.396415,-0.876307,-1.043120
0.005800,0.395111,-0.809017,-0.952901
0.005810,0.393816,-0.728969,-0.862282
0.005820,0.392530,-0.637424,-0.767871
0.005830,0.391254,-0.535827,-0.641490
0.005840,0.389988,-0.425779,-0.491442
0.005850,0.388731,-0.309017,-0.372570
0.005860,0.387483,-0.187381,-0.219566
0.005870,0.386246,-0.062791,-0.060156
0.005880,0.385018,0.062791,0.061996
0.005890,0.383800,0.187381,0.217296
0.005900,0.382591,0.309017,0.324928
0.005910,0.381392,0.425779,0.490186
0.005920,0.380204,0.535827,0.595267
0.005930,0.379025,0.637424,0.767541
0.005940,0.377856,0.728969,0.892131
0.005950,0.376697,0.809017,0.948353
0.005960,0.375548,0.876307,1.031047
0.005970,0.374409,0.929776,1.059936
0.005980,0.373281,0.968583,1.158282
0.005990,0.372162,0.992115,1.164253
0.006000,0.371053,1.000000,1.174025
0.006010,0.369955,0.992115,1.177592
