Time,Subsystem1.i_in,Subsystem1.i_read
0.0651,0.0010002506,0.001
0.0652,0.0010007052,0.001
0.0653,0.0010010679,0.001001
0.0654,0.0010003274,0.001
0.0655,0.0010005363,0.001
0.0656,0.0010004878,0.001
0.0657,0.0010003806,0.001
0.0658,0.0010004301,0.001
0.0659,0.0010009595,0.001
0.066,0.0010006826,0.001
0.0661,0.0010005122,0.001
0.0662,0.0010008893,0.001
0.0663,0.0010001862,0.001
0.0664,0.001000218,0.001
0.0665,0.0010003921,0.001
0.0666,0.0010003991,0.001
0.0667,0.0010000379,0.001
0.0668,0.0010005371,0.001
0.0669,0.0010010577,0.001001
0.067,0.0010002537,0.001
0.0671,0.0010004917,0.001
0.0672,0.0010007772,0.001
0.0673,0.0010003897,0.001
0.0674,0.001000251,0.001
0.0675,0.0010001594,0.001
0.0676,0.0010006508,0.001
0.0677,0.0010006808,0.001
0.0678,0.0010007173,0.001
0.0679,0.001000332,0.001
0.068,0.001000602,0.001
0.0681,0.0010003821,0.001
0.0682,0.0010003033,0.001
0.0683,0.0010000864,0.001
0.0684,0.0010000513,0.001
0.0685,0.0010000303,0.001
0.0686,0.0010003336,0.001
0.0687,0.0010005033,0.001
0.0688,0.0010008295,0.001
0.0689,0.0010007627,0.001
0.069,0.0010008273,0.001
0.0691,0.0010005803,0.001
0.0692,0.0010004921,0.001
0.0693,0.001000294,0.001
0.0694,0.0010002579,0.001
0.0695,0.0010007236,0.001
0.0696,0.0010008899,0.001
0.0697,0.0010007785,0.001
0.0698,0.0010002342,0.001
0.0699,0.001000271,0.001
0.07,0.0010009982,0.001
0.0701,0.0010007779,0.001
0.0702,0.0010010446,0.001001
0.0703,0.0010002115,0.001
0.0704,0.0010001584,0.001
0.0705,0.0010007757,0.001
0.0706,0.0010001947,0.001
0.0707,0.001000592,0.001
0.0708,0.0010008032,0.001
0.0709,0.0010001373,0.001
0.071,0.0010009983,0.001
0.0711,0.0010004954,0.001
0.0712,0.0010007754,0.001
0.0713,0.0010002708,0.001
0.0714,0.0009999003,0.000999
0.0715,0.0010001686,0.001
0.0716,0.0010005292,0.001
0.0717,0.001000548,0.001
0.0718,0.0010003739,0.001
0.0719,0.0010010637,0.001001
0.072,0.0010005363,0.001
0.0721,0.0010000359,0.001
0.0722,0.0010007445,0.001
0.0723,0.0010004439,0.001
0.0724,0.0010008488,0.001
0.0725,0.0010002754,0.001
0.0726,0.0009999877,0.000999
0.0727,0.0010006339,0.001
0.0728,0.0010006742,0.001
0.0729,0.0010006557,0.001
0.073,0.0009997048,0.000999
0.0731,0.0010006017,0.001
0.0732,0.0010009684,0.001
0.0733,0.001000108,0.001
0.0734,0.0010004045,0.001
0.0735,0.0010003832,0.001
0.0736,0.0010007388,0.001
0.0737,0.0010004384,0.001
0.0738,0.0010007992,0.001
0.0739,0.0010005896,0.001
0.074,0.0010006339,0.001
0.0741,0.0010006829,0.001
0.0742,0.0010005588,0.001
0.0743,0.0010009507,0.001
0.0744,0.0010007155,0.001
0.0745,0.0010005472,0.001
0.0746,0.0010008056,0.001
0.0747,0.0010003967,0.001
0.0748,0.0010007784,0.001
0.0749,0.0010006694,0.001
0.075,0.0010002513,0.001
0.0751,0.0009999295,0.000999
0.0752,0.0010001918,0.001
0.0753,0.0010008145,0.001
0.0754,0.0010001556,0.001
0.0755,0.0010004361,0.001
0.0756,0.0010003624,0.001
0.0757,0.0010002101,0.001
0.0758,0.0010001817,0.001
0.0759,0.0010009006,0.001
0.076,0.0010004891,0.001
0.0761,0.0010003065,0.001
0.0762,0.0009999836,0.000999
0.0763,0.0010009769,0.001
0.0764,0.0010001679,0.001
0.0765,0.0010001624,0.001
0.0766,0.001000688,0.001
0.0767,0.0010007592,0.001
0.0768,0.0010007799,0.001
0.0769,0.0010007353,0.001
0.077,0.0010003704,0.001
0.0771,0.0010005819,0.001
0.0772,0.0009999663,0.000999
0.0773,0.0010002925,0.001
0.0774,0.0010005982,0.001
0.0775,0.001000321,0.001
0.0776,0.0010002514,0.001
0.0777,0.0010009132,0.001
0.0778,0.0010010307,0.001001
0.0779,0.0010013995,0.001001
0.078,0.0010005942,0.001
0.0781,0.0010002912,0.001
0.0782,0.0010007443,0.001
0.0783,0.0010003493,0.001
0.0784,0.0010010997,0.001001
0.0785,0.0010004351,0.001
0.0786,0.0010005478,0.001
0.0787,0.0010003878,0.001
0.0788,0.001000582,0.001
0.0789,0.0010006682,0.001
0.079,0.0010007507,0.001
0.0791,0.001000324,0.001
0.0792,0.0010005821,0.001
0.0793,0.0010004604,0.001
0.0794,0.0010003306,0.001
0.0795,0.0010005943,0.001
0.0796,0.0010003663,0.001
0.0797,0.0010007413,0.001
0.0798,0.0010008261,0.001
0.0799,0.0010001815,0.001
0.08,0.0010002017,0.001
0.0801,0.0010001482,0.001
0.0802,0.0010001732,0.001
0.0803,0.0010006638,0.001
0.0804,0.0010004197,0.001
0.0805,0.0010005584,0.001
0.0806,0.001000909,0.001
0.0807,0.0010001119,0.001
0.0808,0.001000183,0.001
0.0809,0.0010003637,0.001
0.081,0.0010004524,0.001
0.0811,0.0009999169,0.000999
0.0812,0.000999995,0.000999
0.0813,0.0010005904,0.001
0.0814,0.0010006501,0.001
0.0815,0.001000326,0.001
0.0816,0.001000575,0.001
0.0817,0.0010003875,0.001
0.0818,0.001000227,0.001
0.0819,0.0010007748,0.001
0.082,0.0010006478,0.001
0.0821,0.0010003198,0.001
0.0822,0.0010002088,0.001
0.0823,0.0010008262,0.001
0.0824,0.0010006049,0.001
0.0825,0.0010006846,0.001
0.0826,0.001000624,0.001
0.0827,0.0010009743,0.001
0.0828,0.0010003699,0.001
0.0829,0.0010004862,0.001
0.083,0.001000256,0.001
0.0831,0.0010001857,0.001
0.0832,0.0010004077,0.001
0.0833,0.0010008811,0.001
0.0834,0.0010005176,0.001
0.0835,0.0009995499,0.000999
0.0836,0.0010005912,0.001
0.0837,0.001000572,0.001
0.0838,0.0010003705,0.001
0.0839,0.0010002435,0.001
0.084,0.0009998158,0.000999
0.0841,0.0010005427,0.001
0.0842,0.0010009629,0.001
0.0843,0.0010003886,0.001
0.0844,0.001000996,0.001
0.0845,0.0010004507,0.001
0.0846,0.0010007079,0.001
0.0847,0.0010004662,0.001
0.0848,0.0010005726,0.001
